作曲家,乐曲编码,链接,版权
Albeniz,"Doce piezas caracterásticas, Op. 92 (1888)-| 7. Zambra Granadina",https://kunstderfuge.com/-/mid.files/albeniz/zambra_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"Doce piezas caracterásticas, Op. 92 (1888)-| 12. Torre Bermeja",https://kunstderfuge.com/-/mid.files/albeniz/torre_bermeja_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"España, Op. 165 (1892)-| 1. Preludio",https://kunstderfuge.com/-/mid.files/9/albeniz_espana_165_1_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"España, Op. 165 (1892)-| 2. Tango",https://kunstderfuge.com/-/mid.files/9/albeniz_espana_165_2_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"España, Op. 165 (1892)-| 3. Malegueña",https://kunstderfuge.com/-/mid.files/9/albeniz_espana_165_3_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"España, Op. 165 (1892)-| 4. Serenata",https://kunstderfuge.com/-/mid.files/9/albeniz_espana_165_4_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"España, Op. 165 (1892)-| 5. Capricho Catalan",https://kunstderfuge.com/-/mid.files/9/albeniz_espana_165_5_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"España, Op. 165 (1892)-| 6. Zortzico",https://kunstderfuge.com/-/mid.files/9/albeniz_espana_165_6_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,"-| Mallorca, Barcarolle, Op. 202 (1892)",https://kunstderfuge.com/-/mid.files/albeniz/mallorca_%28c%29yogore.mid, Segundo G. Yogore
Albeniz,-| [Autumne Waltz] (?),https://kunstderfuge.com/-/mid.files/albeniz/autumne_waltz_%28c%29halstead.mid, Eric Halstead
Albeniz,-| Tango (transcribed by,https://kunstderfuge.com/-/mid.files/albeniz-godowsky_tango_%28c%29yogore.mid, Segundo G. Yogore
Albinoni,Concerto in B-flat major-| 1. Allegro,https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_b-flat_1_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,Concerto in B-flat major-| 2. Affettuoso,https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_b-flat_2_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,Concerto in B-flat major-| 3. Allegro moderato,https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_b-flat_3_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in d minor, Op. 9 No. 2-| 1. Allegro moderato",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_d_9_2_1_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in d minor, Op. 9 No. 2-| 2. Adagio",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_d_9_2_2_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in d minor, Op. 9 No. 2-| 3. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_d_9_2_3_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in F major, Op. 9 No. 3-| 1. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_f_9_3_1_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in F major, Op. 9 No. 3-| 2. Adagio non troppo",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_f_9_3_2_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in F major, Op. 9 No. 3-| 3. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_f_9_3_3_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in G major, Op. 9 No. 6-| 1. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_g_9_6_1_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in G major, Op. 9 No. 6-| 2. Adagio",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_g_9_6_2_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in G major, Op. 9 No. 6-| 3. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_g_9_6_3_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in C major, Op. 9 No. 9-| 1. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_c_9_9_1_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in C major, Op. 9 No. 9-| 2. Adagio non troppo",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_c_9_9_2_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in C major, Op. 9 No. 9-| 3. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_c_9_9_3_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in D major, Op. 9 No. 12-| 1. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_d_9_12_1_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in D major, Op. 9 No. 12-| 2. Adagio",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_d_9_12_2_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,"Concerto in D major, Op. 9 No. 12-| 3. Allegro",https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_d_9_12_3_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,Concerto Saint Marc-| 1. Grave,https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_saint_marc_1_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,Concerto Saint Marc-| 2. Allegro,https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_saint_marc_2_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,Concerto Saint Marc-| 3. Andante,https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_saint_marc_3_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,Concerto Saint Marc-| 4. Allegro,https://kunstderfuge.com/-/mid.files/27ab/albinoni_concerto_saint_marc_4_%28c%29icking-archive.mid, Michel Rondeau
Albinoni,Sonate da Chiesa for violino solo and violoncello or basso continuo-| 1. Sonata da Chiesa No. 1,https://kunstderfuge.com/-/mid.files/2/albinoni_sonate_da_chiesa_1_%28c%29icking-archive.mid, Johan Tufvesson
Albinoni,Sonate da Chiesa for violino solo and violoncello or basso continuo-| 2. Sonata da Chiesa No. 2,https://kunstderfuge.com/-/mid.files/2/albinoni_sonate_da_chiesa_2_%28c%29icking-archive.mid, Johan Tufvesson
Albinoni,Sonate da Chiesa for violino solo and violoncello or basso continuo-| 3. Sonata da Chiesa No. 3,https://kunstderfuge.com/-/mid.files/2/albinoni_sonate_da_chiesa_3_%28c%29icking-archive.mid, Johan Tufvesson
Albinoni,Sonate da Chiesa for violino solo and violoncello or basso continuo-| 4. Sonata da Chiesa No. 4,https://kunstderfuge.com/-/mid.files/2/albinoni_sonate_da_chiesa_4_%28c%29icking-archive.mid, Johan Tufvesson
Albinoni,Sonate da Chiesa for violino solo and violoncello or basso continuo-| 5. Sonata da Chiesa No. 5,https://kunstderfuge.com/-/mid.files/2/albinoni_sonate_da_chiesa_5_%28c%29icking-archive.mid, Johan Tufvesson
Albinoni,Sonate da Chiesa for violino solo and violoncello or basso continuo-| 6. Sonata da Chiesa No. 6,https://kunstderfuge.com/-/mid.files/2/albinoni_sonate_da_chiesa_6_%28c%29icking-archive.mid, Johan Tufvesson
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 1. Sonata I",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_1_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 2. Sonata II",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_2_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 3. Sonata III",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_3_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 4. Sonata IV",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_4_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 5. Sonata V",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_5_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 6. Sonata VI",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_6_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 7. Sonata VII",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_7_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 8. Sonata VIII",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_8_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 9. Sonata IX",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_9_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 10. Sonata X",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_10_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 11. Sonata XI",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_11_%28c%29icking-archive.mid, Trent Johnston
Albinoni,"Trattenimenti Armonici Per camera Divisi in Dodici Sonate à Violino, Violone e Cembalo Op.6, 12 sonatas for solo violin and basso continuo [Complete edition]-| 12. Sonata XII",https://kunstderfuge.com/-/mid.files/2/albinoni_trattenimenti_armonici_12_%28c%29icking-archive.mid, Trent Johnston
Albinoni,-| Adagio (celebre),https://kunstderfuge.com/-/mid.files/albinoni_adagio_%28c%29cowan.mid, David Cowan
Albinoni,Sonata for flute and guitar-| 1. Grave,https://kunstderfuge.com/-/mid.files/albinoni_sonata_1_%28c%29bachovich.mid, 
Albinoni,Sonata for flute and guitar-| 2. Allegro,https://kunstderfuge.com/-/mid.files/albinoni_sonata_2_%28c%29bachovich.mid, 
Albinoni,Sonata for flute and guitar-| 3. Adagio,https://kunstderfuge.com/-/mid.files/albinoni_sonata_3_%28c%29bachovich.mid, 
Albinoni,Sonata for flute and guitar-| 4. Allegro,https://kunstderfuge.com/-/mid.files/albinoni_sonata_4_%28c%29bachovich.mid, 
Albinoni,-| Magnificat,https://kunstderfuge.com/-/mid.files/albinoni_magnificat_%28c%29unknown.mid, Anne Borlon
Alkan,"-| Variations sur un Theme de Steibelt, Op. 1 (1829)",https://kunstderfuge.com/-/mid.files/25/alkan_variations_sur_un_theme_de_steibelt_1_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Les omnibus Variations, Op. 2 (1829)",https://kunstderfuge.com/-/mid.files/1/alkan_omnibus_2_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Il était un p'tit homme, Op. 3 (1833)",https://kunstderfuge.com/-/mid.files/1/alkan_etait_un_petit_homme_3_%28c%29yogore.mid, Segundo G. Yogore
Alkan,-| Rondo Brilliant Op. 4 (1833),https://kunstderfuge.com/-/mid.files/23/alkan_rondo_brilliant_4_%28c%29yogore.mid, Segundo G. Yogore
Alkan,-| Concerto da camera No. 1 Op. 10 (1834),https://kunstderfuge.com/-/mid.files/1/alkan_concerto_da_camera_1_10_%28c%29yogore.mid, Segundo G. Yogore
Alkan,-| Concerto da camera No. 2 Op. 10 (1834),https://kunstderfuge.com/-/mid.files/1/alkan_concerto_da_camera_2_10_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Rondeau chromatique, Op. 12a (1834)",https://kunstderfuge.com/-/mid.files/1/alkan_rondo_12a_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Improvisations dans le style brillant, Op. 12b (1837)-| 1. Prestissimo",https://kunstderfuge.com/-/mid.files/alkan/etudes_12_1_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Improvisations dans le style brillant, Op. 12b (1837)-| 2. Allegretto",https://kunstderfuge.com/-/mid.files/alkan/etudes_12_2_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Improvisations dans le style brillant, Op. 12b (1837)-| 3. Allegro marziale",https://kunstderfuge.com/-/mid.files/alkan/etudes_12_3_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Andantes Romantiques, Op. 13 (1837)-| 1. Andante",https://kunstderfuge.com/-/mid.files/25/alkan_trois_andantes_romantiques_13_1_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Andantes Romantiques, Op. 13 (1837)-| 2. Andante con moto",https://kunstderfuge.com/-/mid.files/25/alkan_trois_andantes_romantiques_13_2_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Andantes Romantiques, Op. 13 (1837)-| 3. Andante",https://kunstderfuge.com/-/mid.files/25/alkan_trois_andantes_romantiques_13_3_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Souvenirs. Trois morceaux dans le genre pathétique, dédiés à Liszt, Op. 15 (1837)-| 1. Aime-moi",https://kunstderfuge.com/-/mid.files/9/alkan_trois_morceaux_1_15_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Souvenirs. Trois morceaux dans le genre pathétique, dédiés à Liszt, Op. 15 (1837)-| 2. Le vent",https://kunstderfuge.com/-/mid.files/9/alkan_trois_morceaux_2_15_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Souvenirs. Trois morceaux dans le genre pathétique, dédiés à Liszt, Op. 15 (1837)-| 3. Morte",https://kunstderfuge.com/-/mid.files/9/alkan_trois_morceaux_3_15_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Etudes de Bravoure, Op. 16 (1837)-| 1. Mouvement de Valse",https://kunstderfuge.com/-/mid.files/alkan/etudes_16_1_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Etudes de Bravoure, Op. 16 (1837)-| 2. Moderato (quasi Minuetto)",https://kunstderfuge.com/-/mid.files/alkan/etudes_16_2_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Trois Etudes de Bravoure, Op. 16 (1837)-| 3. Prestissimo",https://kunstderfuge.com/-/mid.files/alkan/etudes_16_3_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Variations [3], Op. 16/4-6 (1834)-| 4. Variations sur un thème de Donizetti Ah! Segnata é la mia morte de l'Opéra Anna Bolena",https://kunstderfuge.com/-/mid.files/9/alkan_variations_16_4_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Variations [3], Op. 16/4-6 (1834)-| 5. Variations sur un thème de Bellini La tremenda ultrice spada de I Capuleti e i Montecchi",https://kunstderfuge.com/-/mid.files/9/alkan_variations_16_5_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Variations [3], Op. 16/4-6 (1834)-| 6. Variations quasi-fantaisie sur une barcarolle napolitaine",https://kunstderfuge.com/-/mid.files/9/alkan_variations_16_6_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Le Preux, Etude de Concert, Op. 17 (1844)",https://kunstderfuge.com/-/mid.files/alkan/etude_de_concert_17_preux_%28c%29yogore.mid, Segundo G. Yogore
Alkan,-| Nocturne (premier) Op. 22 (1844),https://kunstderfuge.com/-/mid.files/1/alkan_nocturne_22_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Saltarelle, Op. 23 (1844)",https://kunstderfuge.com/-/mid.files/alkan/saltarelle_23_%28c%29yogore.mid, Segundo G. Yogore
Alkan,-| 1. Gigue,https://kunstderfuge.com/-/mid.files/9/alkan_gigue_24_1_%28c%29yogore.mid, Segundo G. Yogore
Alkan,-| 2. Air de ballet dans le style ancien,https://kunstderfuge.com/-/mid.files/9/alkan_air_24_2_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Alleluia, Op. 25 (1844)",https://kunstderfuge.com/-/mid.files/alkan/alleluia_25_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Marche funèbre, Op. 26 (1846)",https://kunstderfuge.com/-/mid.files/alkan/marche_funebre_26_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Le Chemin de Fer, Op. 27 (1844)",https://kunstderfuge.com/-/mid.files/alkan/chemin_de_fer_27_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Marche triomphale, Op. 27 (1846)",https://kunstderfuge.com/-/mid.files/alkan/marche_triomphale_27a_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Bourree d'Auvergne, Op. 29",https://kunstderfuge.com/-/mid.files/9/alkan_bourree_29_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"-| Perpetuum mobile, Op. 30 (?)",https://kunstderfuge.com/-/mid.files/alkan/perpetuum_mobile_30_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 1. Ut, [Lentement]",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_01_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 2. fa, [Assez lentement]",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_02_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 3. Reb, Dans le genre ancien",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_03_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 4. fa#, Priere du soir",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_04_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 5. Re, Psaume 150me",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_05_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 6. sol, Ancienne mélodie de la synagogue",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_06_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 7. Mib, [Librement mais sans secousses]",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_07_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 8. lab,La chanson de la folle au bord de la mer",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_08_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 9. Fa, Un petit rien",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_09_%28c%29yogore.mid, Segundo G. Yogore
Alkan,"Preludes dans le tons Majeurs et Mineurs [25], Op. 31 (1847)-| 10. Mi, Placiditas",https://kunstderfuge.com/-/mid.files/alkan/preludes_31_10_%28c%29yogore.mid, Segundo G. Yogore
